"","hgnc_symbol","entrezgene","chromosome_name","start_position","end_position"
"1883","OSBPL7",114881,"17",45884738,45899200
"1884","PPP5D1",100506012,"19",46984053,47104457
"1885","OAS2",4939,"12",113416200,113449528
"1886","TMEM132B",114795,"12",125671382,126146917
"1887","FBXO5",26271,"6",153291664,153304714
"1888","",NA,"11",9481747,9482010
"1889","CENPB",1059,"20",3764498,3767337
"1890","ADAT2",134637,"6",143743969,143771810
"1891","",NA,"7",134832797,134832916
"1892","CXCL17",284340,"19",42932440,42947200
"1893","",NA,"5",96424779,96519354
"1894","TAP2",6891,"HSCHR6_MHC_DBB",32767739,32784536
"1895","NMNAT3",349565,"3",139279022,139396859
"1896","FGA",2243,"4",155504278,155511918
"1897","BID",637,"22",18216906,18257536
"1898","CDK8",1024,"13",26828276,26979375
"1899","MRPL3",11222,"3",131181056,131221827
"1900","C6orf229",101928603,"6",24797549,24799117
"1901","IPP",3652,"1",46159996,46216322
"1902","LIX1",167410,"5",96427574,96478576
"1903","ZNF780A",101929205,"19",40575059,40596845
"1904","ZNF780A",284323,"19",40575059,40596845
"1905","FAM9B",171483,"X",8992273,9132680
"1906","RNF113A",7737,"X",119004497,119005791
"1907","KBTBD3",143879,"11",105921825,105948492
"1908","UBD",10537,"HSCHR6_MHC_QBL",29523310,29527624
"1909","NDUFA1",4694,"X",119005450,119010625
"1910","DNAJC28",54943,"21",34860497,34864027
"1911","WDR91",29062,"7",134868590,134896316
"1912","TMEM242",729515,"6",157710418,157744633
"1913","PLEKHG1",57480,"6",150920999,151164799
"1914","",NA,"14",95982473,95984248
"1915","SMAP2",64744,"1",40810522,40888998
"1916","OR2H2",7932,"HSCHR6_MHC_QBL",29555617,29556679
"1917","SSR3",6747,"3",156257929,156272973
"1918","TLX1NB",100038246,"10",102849078,102890883
"1919","CDC20",991,"1",43824626,43828874
"1920","FSIP2",401024,"2",186603355,186698017
"1921","GTF3C3",9330,"2",197627756,197664449
"1922","GLRX5",51218,"14",95999840,96011061
"1923","CDKN1A",1026,"6",36644305,36655116
"1924","",NA,"10",102882536,102883624
"1925","ID4",3400,"6",19837617,19840915
"1926","REN",5972,"1",204123944,204135465
"1927","EFEMP2",30008,"11",65633912,65641063
"1928","ASPHD2",57168,"22",26825239,26840981
"1929","TLX1",3195,"10",102889257,102897545
"1930","SLC3A1",6519,"2",44502599,44548633
"1931","FAM65B",9750,"6",24797601,25042238
"1932","DEFB136",613210,"8",11831446,11832108
"1933","",NA,"17",34310692,34317306
"1934","AKAP14",158798,"X",119029800,119054679
"1935","AASDHPPT",60496,"11",105946228,105969437
"1936","TCP11",6954,"6",35085848,35116387
"1937","TCL1B",9623,"14",96152754,96158980
"1938","CDC25B",994,"20",3767578,3786762
"1939","DEFB135",613209,"8",11839830,11842099
"1940","MRC2",9902,"17",60704762,60770958
"1941","ZNF143",7702,"11",9481866,9550071
"1942","RXFP3",51289,"5",33936491,33939023
"1943","CEACAM1",634,"19",43011456,43065386
"1944","LRRC10",376132,"12",70002351,70004942
"1945","PLAU",5328,"10",75668935,75677255
"1946","LBX1",10660,"10",102986733,102989551
"1947","C4A",721,"HSCHR6_MHC_QBL",31940194,31960852
"1948","C4A",720,"HSCHR6_MHC_QBL",31940194,31960852
"1949","DEFB134",613211,"8",11850692,11853821
"1950","CCL26",10344,"7",75398851,75419214
"1951","DMRTC1B",728656,"X",71996833,72068636
"1952","DMRTC1B",63947,"X",71996833,72068636
"1953","STXBP1",6812,"9",130374544,130457460
"1954","CCNC",892,"6",99990256,100016849
"1955","",NA,"8",11870545,11873043
"1956","MBOAT1",154141,"6",20100935,20212670
"1957","SAMD5",389432,"6",147830063,148058683
"1958","TNXB",7148,"HSCHR6_MHC_COX",31957379,32033845
"1959","",100133267,"8",11921898,11929256
"1960","",245940,"8",11921898,11929256
"1961","CLCN1",1180,"7",143013219,143049176
"1962","HMX3",340784,"10",124895478,124897257
"1963","CDH12",1010,"5",21750782,22853731
"1964","HSD17B6",8630,"12",57145945,57181574
"1965","KCNAB3",9196,"17",7825177,7833121
"1966","ZNF705D",728957,"8",11961898,11973025
"1967","TBL1X",6907,"X",9431335,9687780
"1968","HMX2",3167,"10",124907638,124910188
"1969","WDR70",55100,"5",37379314,37753537
"1970","CCL24",6369,"7",75440983,75452674
"1971","ZDHHC14",79683,"6",157802165,158099178
"1972","BTRC",8945,"10",103113820,103317078
"1973","BEST3",144453,"12",70037140,70093256
"1974","MOG",4340,"HSCHR6_MHC_QBL",29624680,29640072
"1975","USP17L2",645836,"8",11994677,11996586
"1976","USP17L2",645402,"8",11994677,11996586
"1977","USP17L2",401447,"8",11994677,11996586
"1978","USP17L2",392197,"8",11994677,11996586
"1979","USP17L2",392188,"8",11994677,11996586
"1980","USP17L2",377630,"8",11994677,11996586
"1981","GUCY1A2",2977,"11",106544738,106889250
"1982","MAST2",23139,"1",46252659,46501796
"1983","",NA,"6",44240931,44346694
"1984","SKA1",220134,"18",47901365,47920543
"1985","PTPRD",5789,"9",8314246,10612723
"1986","DMRTC1",728656,"X",72091859,72163653
"1987","DMRTC1",63947,"X",72091859,72163653
"1988","KISS1",3814,"1",204159469,204165614
"1989","C14orf166B",145497,"14",77292715,77336645
"1990","HPS4",89781,"22",26839389,26879803
"1991","MTRF1L",54516,"6",153308497,153323820
"1992","RHBDD2",57414,"7",75471920,75518244
"1993","WBP1",23559,"2",74685456,74688018
"1994","BUB3",9184,"10",124913793,124924886
"1995","TMEM187",8269,"X",153237778,153248646
"1996","TCTE1",202500,"6",44246480,44265458
"1997","SASH1",23328,"6",148593440,148873186
"1998","GOLT1A",127845,"1",204167288,204183220
"1999","EPC1",80314,"10",32556679,32667726
"2000","CD19",930,"16",28943260,28950667
"2001","MARK2",2011,"11",63606400,63678491
"2002","TIMP4",7079,"3",12194551,12200851
"2003","HLA-DMA",3108,"HSCHR6_MHC_QBL",32845119,32867240
"2004","MREG",55686,"2",216809213,216898819
"2005","PPP3R1",5534,"2",68405989,68483369
"2006","GTF3C2",2976,"2",27548716,27579868
"2007","RAB19",401409,"7",140103843,140126050
"2008","TCFL5",10732,"20",61472467,61493115
"2009","NEK8",284086,"17",27052915,27070473
"2010","FAM86B1",653333,"8",12039605,12051642
"2011","FAM86B1",85002,"8",12039605,12051642
"2012","GART",2618,"21",34876238,34915797
"2013","ZNF620",253639,"3",40547483,40560227
"2014","TLK1",9874,"2",171847333,172087824
"2015","RMDN1",51115,"8",87480486,87526586
"2016","OTUD7B",56957,"1",149909705,149982625
"2017","WASF3",10810,"13",27131840,27263085
"2018","TCL1A",8115,"14",96176304,96180533
"2019","C5orf56",NA,"5",131746328,131811736
"2020","TIPARP",25976,"3",156391024,156424559
"2021","UBE2B",7320,"5",133706870,133727683
"2022","PLEKHA6",22874,"1",204187979,204346793
"2023","FAM179A",165186,"2",29179477,29284239
"2024","ELOVL1",102466723,"1",43829068,43833696
"2025","ELOVL1",64834,"1",43829068,43833696
"2026","LCORL",254251,"4",17842822,18023499
"2027","",NA,"HSCHR6_MHC_SSTO",31745551,31818230
"2028","PTF1A",256297,"10",23481256,23483181
"2029","FGG",2266,"4",155525286,155534119
"2030","NEU1",4758,"HSCHR6_MHC_SSTO",31817326,31822599
"2031","C10orf115",NA,"10",23492745,23528745
"2032","RPL8",6132,"8",146015150,146017972
"2033","MAPK4",5596,"18",48086448,48258194
"2034","CNRIP1",25927,"2",68511303,68547183
"2035","KXD1",79036,"19",18668572,18680197
"2036","SNRNP48",154007,"6",7590432,7612200
"2037","CTSW",1521,"11",65647280,65651212
"2038","CDHR5",53841,"11",616565,626078
"2039","C10orf67",256815,"10",23556124,23633774
"2040","GPR12",2835,"13",27329341,27334922
"2041","ZNF621",285268,"3",40566369,40616176
"2042","MKRN1",23608,"7",140152840,140179369
"2043","CCL15",6359,"17",34323476,34329084
"2044","HDAC3",8841,"5",141000443,141016437
"2045","CWF19L2",143884,"11",107197071,107328572
"2046","SRGN",5552,"10",70847862,70864567
"2047","RANBP2",5903,"2",109335937,109402267
"2048","FAR2",55711,"12",29302036,29493913
"2049","ANKRD52",283373,"12",56631591,56652175
"2050","TMEM37",140738,"2",120187477,120196096
"2051","IRAK1",3654,"X",153275951,153285431
"2052","USP12",219333,"13",27640293,27746033
"2053","GPR143",4935,"X",9693386,9754337
"2054","DAZ4",57135,"Y",26980008,27053183
"2055","DAZ4",57055,"Y",26980008,27053183
"2056","DAZ4",1617,"Y",26980008,27053183
"2057","CCDC28A",25901,"6",139094657,139114456
"2058","RPP21",79897,"HSCHR6_MHC_DBB",30303165,30304918
"2059","SIDT1",54847,"3",113251143,113348425
"2060","HNRNPUL1",11100,"19",41768401,41813503
"2061","PABPC1L2B",645974,"X",72223352,72225551
"2062","PABPC1L2B",340529,"X",72223352,72225551
"2063","SMAD1",4086,"4",146402346,146479231
"2064","SCTR",6344,"2",120197419,120282070
"2065","C12orf43",64897,"12",121440225,121454305
"2066","NAGLU",4669,"17",40688190,40696467
"2067","PABPC1L2A",645974,"X",72297115,72299351
"2068","PABPC1L2A",340529,"X",72297115,72299351
"2069","",NA,"6",143759575,143764295
"2070","CENPH",64946,"5",68485375,68506184
"2071","TMEM132C",92293,"12",128751948,129192460
"2072","MOCS1",4337,"6",39867354,39902290
"2073","JMJD7",100137047,"15",42120283,42129779
"2074","IRAK3",11213,"12",66582659,66648402
"2075","PPARG",5468,"3",12328867,12475855
"2076","CDKN2AIPNL",91368,"5",133737778,133747589
"2077","PPP1R15B",84919,"1",204372515,204380919
"2078","DIDO1",11083,"20",61509090,61569304
"2079","ARHGDIG",398,"16",318726,333003
"2080","GAREML",150946,"2",26395960,26412532
"2081","PLEK",5341,"2",68592305,68624585
"2082","PEX3",8504,"6",143771944,143811147
"2083","PNMAL2",57469,"19",46990163,46999755
"2084","NFATC2IP",84901,"16",28962128,28978418
"2085","",NA,"19",46997765,46999755
"2086","CCT4",10575,"2",62095224,62115939
"2087","",NA,"19",47050313,47104118
"2088","TMEM176A",55365,"7",150497491,150502208
"2089","FIBP",9158,"11",65651212,65656010
"2090","ZFP69B",65243,"1",40915774,40929390
"2091","KCNIP3",30818,"2",95963052,96051825
"2092","STRN3",29966,"14",31363005,31495607
"2093","ECT2L",345930,"6",139117063,139225207
"2094","CYP3A7",100861540,"7",99302660,99332819
"2095","CYP3A7",1551,"7",99302660,99332819
"2096","GIP",2695,"17",47035916,47045958
"2097","SHROOM2",357,"X",9754496,9917483
"2098","MRPS36",92259,"5",68513587,68525956
"2099","CALM3",808,"19",47104331,47114050
"2100","CALM3",805,"19",47104331,47114050
"2101","CALM3",801,"19",47104331,47114050
"2102","NKAP",79576,"X",119059014,119077735
"2103","SPIC",121599,"12",101869199,101880775
"2104","JADE2",23338,"5",133860003,133918918
"2105","CCL23",6368,"17",34340096,34345005
"2106","SLC44A4",80736,"HSCHR6_MHC_SSTO",31822859,31838708
"2107","PIK3C2B",5287,"1",204391756,204463852
"2108","POR",5447,"7",75528518,75616173
"2109","FAS",355,"10",90750414,90775542
"2110","CLPX",10845,"15",65440557,65477680
"2111","BTN3A3",10384,"6",26440700,26453643
"2112","TNFAIP1",7126,"17",26662628,26674035
"2113","",NA,"3",171509580,171527714
"2114","AARS2",57505,"6",44267391,44281063
"2115","RIOK2",55781,"5",96496571,96518964
"2116","PLP2",5355,"X",49028273,49031588
"2117","PDIA2",64714,"16",333152,337215
"2118","APOM",55937,"HSCHR6_MHC_COX",31607608,31613401
"2119","TMEM212",389177,"3",171561139,171656505
"2120","ZFP69",339559,"1",40942887,40962015
"2121","MOGS",7841,"2",74688184,74692537
"2122","CDK7",1022,"5",68530668,68573250
"2123","CCDC59",29080,"12",82617460,82752584
"2124","BRD2",6046,"HSCHR6_MHC_QBL",32865184,32878022
"2125","SNX9",51429,"6",158244296,158366109
"2126","BPTF",2186,"17",65821640,65980494
"2127","USP38",84640,"4",144106070,144144983
"2128","",100288814,"X",9935392,9936134
"2129","ABCC10",89845,"6",43395104,43418168
"2130","MRO",83876,"18",48324574,48351772
"2131","RPL21",619499,"13",27825446,27830828
"2132","RPL21",26771,"13",27825446,27830828
"2133","RPL21",6144,"13",27825446,27830828
"2134","SLIT2",9353,"4",20254883,20622184
"2135","IRF2BPL",64207,"14",77490888,77495034
"2136","TMEM92",162461,"17",48348767,48358844
"2137","PHLDA1",22822,"12",76419227,76427712
"2138","SRRD",402055,"22",26879843,26890624
"2139","RGS17",26575,"6",153325594,153452384
"2140","WWC3",55841,"X",9983602,10112518
"2141","CIPC",85457,"14",77564440,77583630
"2142","TAPBP",6892,"HSCHR6_MHC_MCF",33437818,33452509
"2143","MAP2K6",5608,"17",67410839,67539472
"2144","MTHFD1L",101928195,"6",151186685,151423023
"2145","MTHFD1L",100996643,"6",151186685,151423023
"2146","MTHFD1L",25902,"6",151186685,151423023
"2147","MED8",112950,"1",43849588,43855479
"2148","PRICKLE3",4007,"X",49031151,49042845
"2149","OASL",8638,"12",121458095,121477045
"2150","",NA,"HSCHR6_MHC_COX",31808914,31809602
"2151","ARPP19",10776,"15",52839242,52862080
"2152","NAF1",92345,"4",164031225,164088073
"2153","SDR9C7",121214,"12",57316938,57328189
"2154","HADHA",3030,"2",26413504,26467594
"2155","LEKR1",389170,"3",156543270,156763918
"2156","EXO5",64789,"1",40974413,40982228
"2157","CENPT",80152,"16",67862060,67881714
"2158","PIK3R3",8503,"1",46505812,46642160
"2159","NEU1",4758,"HSCHR6_MHC_COX",31812978,31818226
"2160","SPNS1",83985,"16",28985542,28995869
"2161","RDH16",8608,"12",57345219,57353158
"2162","RAB44",401258,"6",36683256,36699870
"2163","TMEM53",79639,"1",45100910,45140227
"2164","MRPL10",124995,"17",45900638,45908900
"2165","ULK2",9706,"17",19674142,19771249
"2166","PTGIR",5739,"19",47123725,47128375
"2167","LAMA3",3909,"18",21269407,21535030
"2168","C2orf71",388939,"2",29283842,29297127
"2169","MTRNR2L7",100288485,"10",37890366,37891859
"2170","CILP",8483,"15",65488337,65503826
"2171","CPNE5",57699,"6",36708552,36807778
"2172","",NA,"6",153552455,153668623
"2173","ELMO2",63916,"20",44994688,45061704
"2174","UST",10090,"6",149068464,149398126
"2175","GNG8",94235,"19",47137333,47137942
"2176","SGMS2",166929,"4",108745719,108836203
"2177","ZNF248",57209,"10",38091751,38147034
"2178","CYP3A4",1576,"7",99354604,99381888
"2179","RASL11A",387496,"13",27844464,27847827
"2180","",NA,"17",7829249,7833940
"2181","NPY1R",4886,"4",164245113,164265984
"2182","MAP3K10",4294,"19",40697651,40721482
"2183","VPS26A",9559,"10",70883268,70932617
"2184","MRPL53",116540,"2",74699085,74700449
"2185","DACT3",147906,"19",47150869,47164395
"2186","PECR",55825,"2",216861052,216947678
"2187","TRAPPC1",58485,"17",7833663,7835441
"2188","TFIP11",24144,"22",26887191,26908471
"2189","IRF1",3659,"5",131817301,131826490
"2190","ACP1",52,"2",264140,278283
"2191","TDRD15",NA,"2",21346789,21366144
"2192","ENTHD2",146705,"17",79202077,79212891
"2193","MAP7",9053,"6",136663875,136871957
"2194","MRPL22",29093,"5",154320630,154348971
"2195","CELA3B",23436,"1",22303514,22325135
"2196","VPS45",11311,"1",150039369,150117505
"2197","GID8",54994,"20",61569471,61576996
"2198","MTRNR2L2",100462981,"5",79945819,79946855
"2199","CPNE3",8895,"8",87497059,87573726
"2200","AXIN1",8312,"16",337440,402673
"2201","PARP16",54956,"15",65526798,65592956
"2202","GTF3A",2971,"13",27998681,28009958
"2203","OSBPL5",114879,"11",3108346,3187969
"2204","KLHL29",114818,"2",23608088,23931481
"2205","C14orf132",101929186,"14",96505661,96560417
"2206","C14orf132",56967,"14",96505661,96560417
"2207","PTRH1",138428,"9",130455257,130487152
"2208","FBXO48",554251,"2",68686551,68694390
"2209","NPY5R",4889,"4",164265091,164273086
"2210","CYP2U1",113612,"4",108852525,108874613
"2211","PPP2R3A",5523,"3",135684515,135866733
"2212","MSH3",4437,"5",79950467,80172279
"2213","JMJD7-PLA2G4B",8681,"15",42120293,42140353
"2214","ZNF684",127396,"1",40997233,41013841
"2215","",NA,"GL000201.1",3905,22432
"2216","GFOD1",54438,"6",13358062,13487894
"2217","CELA3A",10136,"1",22328149,22339032
"2218","TKTL2",84076,"4",164392257,164395047
"2219","MKI67",4288,"10",129894923,129924649
"2220","OPRM1",4988,"6",154331631,154568001
"2221","MAP4K2",5871,"11",64556290,64570713
"2222","CLIP4",79745,"2",29320571,29412509
"2223","SLC17A9",63910,"20",61584052,61599949
"2224","NR2F1",7025,"5",92919043,92930321
"2225","TSPAN1",10103,"1",46640745,46651630
"2226","IGF2BP1",10642,"17",47074774,47133012
"2227","CYP26B1",56603,"2",72356367,72375167
"2228","CCDC85B",11007,"11",65657875,65659105
"2229","CTNNB1",1499,"3",41236328,41301587
"2230","TMA16",55319,"4",164415594,164441691
"2231","SLC45A2",51151,"5",33944721,33984835
"2232","DEFB130",100133267,"8",12168471,12175825
"2233","DEFB130",245940,"8",12168471,12175825
"2234","CLCN4",1183,"X",10125024,10205700
"2235","FAM214A",56204,"15",52873514,53002014
"2236","PARP2",10038,"14",20811741,20826064
"2237","SAR1B",51128,"5",133936834,133984961
"2238","FOSL1",8061,"11",65659520,65668044
"2239","SZT2",23334,"1",43855553,43918321
"2240","TTC9B",148014,"19",40721965,40724306
"2241","IGDCC3",9543,"15",65619465,65670378
"2242","SLC15A4",121260,"12",129277739,129308528
"2243","RGMB",285704,"5",98104354,98134347
"2244","KIF4B",285643,"5",154393260,154397685
"2245","PRPF40B",25766,"12",49962001,50038449
"2246","PRKD2",25865,"19",47177532,47220384
"2247","",NA,"14",77564654,77691805
"2248","FAM86B2",653333,"8",12282913,12293915
"2249","GAB1",2549,"4",144257915,144395721
"2250","OTUD1",220213,"10",23728198,23731308
"2251","MAB21L2",10586,"4",151503077,151505843
"2252","C1orf228",339541,"1",45140364,45191263
"2253","CCL18",6362,"17",34391640,34399392
"2254","MMAA",166785,"4",146539415,146581187
"2255","",200373,"2",120302008,120419827
"2256","CDC42",998,"1",22379120,22419437
"2257","HADH",3033,"4",108910870,108956331
"2258","C9orf117",286207,"9",130469268,130478281
"2259","TMEM63C",57156,"14",77582911,77725838
"2260","SGCD",6444,"5",155297354,156194799
"2261","",NA,"GL000215.1",23516,25354
"2262","DDX3Y",8653,"Y",15016019,15032390
"2263","MDM4",4194,"1",204485511,204542871
"2264","MCMBP",79892,"10",121588972,121652068
"2265","MPP7",143098,"10",28339922,28623415
"2266","DSEL",92126,"HSCHR18_2_CTG2",65243268,65253666
"2267","TYRP1",7306,"9",12685439,12710290
"2268","PSMB8",5696,"HSCHR6_MHC_DBB",32786475,32790461
"2269","RFFL",117584,"17",33333009,33416338
"2270","CNTD2",79935,"19",40728115,40732597
"2271","BMP6",654,"6",7727030,7881655
"2272","RIMS3",9783,"1",41086351,41131329
"2273","",646627,"HG999_1_PATCH",248881950,248914431
"2274","SPTBN5",51332,"15",42140345,42186275
"2275","OPN4",94233,"10",88414314,88426605
"2276","FHIT",2272,"HG1091_PATCH",59735036,61237194
"2277","RPS3A",8944,"4",152020725,152025804
"2278","RPS3A",6189,"4",152020725,152025804
"2279","C11orf68",83638,"11",65684279,65686588
"2280","DPCD",25911,"10",103330317,103369425
"2281","REPS1",85021,"6",139224630,139309398
"2282","ANO4",121601,"HSCHR12_3_CTG2_1",101505377,101522419
"2283","XYLT2",64132,"17",48423453,48440499
"2284","MYO1F",4542,"HG729_PATCH",8585996,8642307
"2285","TAB2",23118,"6",149539777,149732749
"2286","AP5S1",55317,"20",3801178,3805949
"2287","TTC16",158248,"9",130478345,130493879
"2288","MICAL3",57553,"22",18270415,18507325
"2289","FCAR",2204,"19",55385704,55401838
"2290","MARCH1",55016,"4",164445450,165305202
"2291","PPIL1",51645,"6",36822603,36842800
"2292","HLA-E",3133,"HSCHR6_MHC_DBB",30447487,30452225
"2293","MRPL28",10573,"16",417384,420527
"2294","FUCA2",2519,"6",143815948,143832827
"2295","",100996390,"GL000201.1",26348,27637
"2296","CCL3",6348,"17",34415602,34417515
"2297","ADAMTS10",81794,"HG729_PATCH",8645126,8675619
"2298","SLC5A8",160728,"HSCHR12_3_CTG2_1",101555447,101610166
"2299","DRAP1",10589,"11",65686728,65689032
"2300","MTIF3",219402,"13",28009776,28024739
"2301","DTX1",1840,"12",113494514,113535833
"2302","ZBTB22",9278,"HSCHR6_MHC_MCF",33452528,33456065
"2303","FZD7",8324,"2",202899310,202903160
"2304","BHLHE23",128408,"20",61637331,61638387
"2305","SYP",6855,"X",49044269,49056718
"2306","NAP1L6",NA,"X",72345876,72347919
"2307","C10orf55",414236,"10",75669727,75682535
"2308","SON",6651,"21",34914924,34949812
"2309","CAMK4",814,"5",110559351,110830584
"2310","SUPV3L1",6832,"10",70939988,70968855
"2311","YTHDF1",54915,"20",61826781,61847586
"2312","NAP1L2",4674,"X",72432135,72434684
"2313","PAXBP1",94104,"HSCHR21_3_CTG1_1",34106210,34144169
"2314","IGDCC4",57722,"15",65673802,65715410
"2315","CDX4",1046,"X",72667090,72675081
"2316","DLK2",65989,"6",43418090,43424370
"2317","NELFCD",51497,"20",57556263,57570188
"2318","HLA-DOA",3111,"HSCHR6_MHC_QBL",32900651,32906085
"2319","KIAA1217",56243,"10",23983675,24836772
"2320","ZNF518A",9849,"HG339_PATCH",97889472,97965046
"2321","",100652824,"2",202937978,203062585
"2322","CLEC4M",10332,"19",7828035,7834491
"2323","C21orf49",NA,"HSCHR21_3_CTG1_1",34144411,34271837
"2324","TXNDC5",81567,"6",7881483,8026646
"2325","MID1",4281,"X",10413350,10851773
"2326","CHIC1",53344,"X",72783036,72906937
"2327","RHOXF2B",727940,"X",119205848,119211707
"2328","NYAP2",57624,"2",226265364,226518734
"2329","GPR182",11318,"12",57388230,57390468
"2330","POMGNT1",55624,"1",46654354,46685977
"2331","LURAP1L",286343,"9",12775020,12822130
"2332","CHD1",1105,"5",98190908,98262240
"2333","C21orf62",56245,"HSCHR21_3_CTG1_1",34165875,34186038
"2334","ALKBH8",91801,"11",107373452,107436472
"2335","CRIM1",101929500,"HSCHR2_1_CTG1",36589102,36784311
"2336","CRIM1",51232,"HSCHR2_1_CTG1",36589102,36784311
"2337","CLSTN2",64084,"3",139654027,140296239
"2338","BIRC7",79444,"20",61867235,61871859
"2339","DAXX",1616,"HSCHR6_MHC_MCF",33456681,33467390
"2340","RHOXF1",158800,"X",119243011,119249847
"2341","LNX2",222484,"13",28120050,28194541
"2342","IRS1",3667,"2",227596033,227664475
"2343","",NA,"6",31654739,31681849
"2344","ACTL9",284382,"HG729_PATCH",8762287,8763706
"2345","ERGIC2",51290,"12",29490285,29534122
"2346","MFSD8",256471,"4",128838960,128887150
"2347","SLC17A5",26503,"6",74303102,74363878
"2348","",NA,"6",13469513,13486415
"2349","OR2Z1",284383,"HG729_PATCH",8795838,8796893
"2350","C4orf51",646603,"4",146601356,146692184
"2351","RHOXF2",84528,"X",119292467,119297945
"2352","SLC45A4",57210,"8",142217265,142318404
"2353","ZFP57",346171,"HSCHR6_MHC_QBL",29640092,29648802
"2354","LONRF1",91694,"8",12579403,12613582
"2355","LDB3",11155,"10",88428206,88495825
"2356","LY6G6F",259215,"6",31674640,31685581
"2357","BLNK",29760,"HG339_PATCH",97951459,98031303
"2358","IFT122",101927266,"3",129158968,129239198
"2359","IFT122",55764,"3",129158968,129239198
"2360","TMEM8A",58986,"16",420773,437113
"2361","RCOR2",283248,"11",63678693,63684316
"2362","ZCCHC13",389874,"X",73524025,73524868
"2363","CPNE4",131034,"3",131252399,132004254
"2364","HELB",92797,"12",66696325,66737423
"2365","TPST2",8459,"22",26921458,26992681
"2366","RHBDD1",84236,"2",227700297,227863931
"2367","SYNJ2",8871,"6",158402888,158520208
"2368","POLR1D",51082,"13",28194903,28241548
"2369","SIRT5",23408,"6",13574816,13614790
"2370","TOR2A",27433,"9",130493803,130497604
"2371","CWC15",51503,"11",94695787,94706776
"2372","",100509620,"HG686_PATCH",95352269,95368320
"2373","SLC16A2",6567,"X",73641085,73753752
"2374","MAVS",57506,"20",3827487,3849280
"2375","ZBTB33",10009,"X",119384607,119392253
"2376","ME2",4200,"18",48405419,48474691
"2377","NAP1L1",4673,"12",76438670,76478813
"2378","WSB2",55884,"12",118470712,118500235
"2379","BDKRB2",624,"14",96671016,96710666
"2380","TEKT4",150483,"HG686_PATCH",95635180,95640576
"2381","LRRN2",10446,"1",204586298,204654861
"2382","CHL1",10752,"3",238279,451090
"2383","ONECUT1",3175,"15",53049637,53083273
"2384","",100128374,"7",1878222,1889567
"2385","NKAIN4",128414,"20",61872136,61904046
"2386","C2orf66",401027,"2",197669726,197675000
"2387","FAM172A",83989,"5",92953775,93447404
"2388","GSX1",219409,"13",28366780,28368905
"2389","APLF",200558,"2",68694693,68858004
"2390","GDNF",2668,"5",37812779,37839788
"2391","METTL25",84190,"12",82752276,82873015
"2392","AKT2",208,"19",40736224,40791443
"2393","PDX1",3651,"13",28494157,28500368
"2394","HCCS",3052,"X",11129421,11141198
"2395","FTSJ2",29960,"7",2273866,2281840
"2396","SPATS1",221409,"6",44310397,44344904
"2397","CBWD3",101060578,"HG962_PATCH",70856397,70914929
"2398","CBWD3",728013,"HG962_PATCH",70856397,70914929
"2399","CBWD3",445571,"HG962_PATCH",70856397,70914929
"2400","CBWD3",220869,"HG962_PATCH",70856397,70914929
"2401","CBWD3",150472,"HG962_PATCH",70856397,70914929
"2402","CBWD3",55871,"HG962_PATCH",70856397,70914929
"2403","RBM5",10181,"3",50126341,50156454
"2404","ZC3H15",55854,"2",187350883,187374090
"2405","ZNF827",101927707,"4",146678779,146859787
"2406","ZNF827",152485,"4",146678779,146859787
"2407","RLIM",51132,"X",73805052,73834452
"2408","RASAL1",8437,"12",113536624,113574044
"2409","ATP5EP2",NA,"13",28519343,28519727
"2410","HLA-DPA1",3113,"HSCHR6_MHC_QBL",32961400,32977612
"2411","HLA-F",3134,"HSCHR6_MHC_QBL",29688014,29703770
"2412","",NA,"12",57390745,57391335
"2413","ZBTB39",9880,"12",57392618,57400230
"2414","CRYBB1",1414,"22",26995242,27014052
"2415","FAM131B",9715,"7",143050493,143059863
"2416","PAX8",7849,"2",113973574,114036527
"2417","TMEM255A",55026,"X",119392505,119445411
"2418","CDX2",1045,"13",28536274,28545276
"2419","SART1",9092,"11",65729160,65747299
"2420","NFYC",4802,"1",41157320,41237275
"2421","AP4S1",11154,"14",31494312,31562818
"2422","LRAT",101927965,"4",155548097,155674270
"2423","LRAT",9227,"4",155548097,155674270
"2424","COL11A2",1302,"HSCHR6_MHC_COX",33052091,33081908
"2425","TMEM169",92691,"2",216946589,216967506
"2426","URAD",646625,"13",28551851,28562791
"2427","WDR72",256764,"15",53805938,54055075
"2428","WNT4",54361,"1",22443798,22470462
"2429","NCR1",9437,"19",55417508,55427508
"2430","RAB3IP",117177,"12",70132461,70216984
"2431","MECP2",4204,"X",153287024,153363212
"2432","VCL",7414,"10",75757872,75879918
"2433","C6orf47",57827,"HSCHR6_MHC_COX",31613489,31615961
"2434","CRYBA4",1413,"22",27017928,27026636
"2435","PGAP1",80055,"2",197697728,197792520
"2436","MOB2",81532,"11",1490687,1522477
"2437","NUDT1",4521,"7",2281857,2290781
"2438","WEE1",7465,"11",9595228,9615004
"2439","TDRD1",56165,"10",115939029,115992063
"2440","KIAA2022",340533,"X",73952684,74145282
"2441","NAA40",79829,"11",63706431,63724800
"2442","ARSG",22901,"HG747_PATCH",66255298,66418847
"2443","POLL",27343,"10",103338639,103348027
"2444","TIMD4",91937,"5",156346293,156390266
"2445","TAC3",6866,"12",57403784,57422667
"2446","ELAC1",55520,"18",48494361,48514491
"2447","GLT1D1",144423,"12",129337972,129469509
